Models,Accuracy
Logistic Regression,0.956140350877193
Decision Tree,0.9385964912280702
Random Forest,0.9649122807017544
SVM,0.956140350877193
Optimized Neural Network,0.9824561403508771
KNN,0.9473684210526315
